Price (Dollar),discount_percentage,price_before_discount,rating_out_of_5,number_of_ratings,brand,Storage (GB),screen_size (Inches),Price_Category
455.99,0.0,455.99,4.0,334.0,38,20.0,6.43,2
268.1,32.97,399.98,4.4,333.0,138,256.0,6.8,1
199.99,9.09,219.99,4.3,333.0,118,256.0,6.52,0
675.0,0.0,675.0,3.8,331.0,138,512.0,7.6,2
399.95,0.0,399.95,3.6,327.0,138,128.0,6.8,1
87.99,0.0,87.99,4.2,326.0,188,64.0,6.71,0
99.97,0.0,99.97,4.4,324.0,188,1000.0,6.53,0
256.5,6.39,274.0,4.0,323.0,138,256.0,6.7,1
79.99,0.0,79.99,2.7,322.0,180,8.0,6.3,0
624.98,21.88,800.0,4.1,321.0,15,128.0,6.7,2
621.74,0.0,621.74,4.2,321.0,15,128.0,6.7,2
139.45,0.0,139.45,4.0,320.0,119,128.0,6.5,0
59.98,0.0,59.98,3.3,319.0,199,32.0,2.4,0
439.99,0.0,439.99,4.3,315.0,138,128.0,6.1,2
147.44,0.0,147.44,4.1,313.0,108,6.0,6.8,0
229.0,58.36,549.99,3.9,312.0,138,128.0,6.7,1
66.99,0.0,66.99,3.8,311.0,138,16.0,5.7,0
87.87,0.0,87.87,4.1,309.0,182,16.0,5.0,0
249.99,0.0,249.99,4.4,305.0,84,256.0,6.7,1
80.45,59.77,199.99,4.2,304.0,102,64.0,6.0,0
139.99,0.0,139.99,4.1,304.0,138,64.0,6.6,0
557.99,0.0,557.99,3.7,303.0,73,128.0,6.71,2
229.99,0.0,229.99,4.3,301.0,108,64.0,6.5,1
119.0,0.0,119.0,4.2,299.0,138,64.0,6.5,0
99.99,0.0,99.99,4.2,297.0,138,16.0,5.0,0
299.0,0.0,299.0,4.0,297.0,113,6.0,6.67,1
352.9,4.87,370.95,4.0,297.0,102,256.0,6.8,1
45.99,0.0,45.99,4.0,295.0,209,32.0,5.45,0
109.99,0.0,109.99,3.5,293.0,22,16.0,5.0,0
134.99,0.0,134.99,3.3,291.0,111,128.0,6.5,0
459.25,0.0,459.25,4.3,290.0,138,128.0,6.1,2
399.99,0.0,399.99,4.0,290.0,138,16.0,4.8,1
49.62,0.0,49.62,3.9,289.0,168,32.0,6.5,0
982.26,7.33,1059.95,4.2,288.0,15,256.0,6.7,2
277.8,32.74,413.0,4.1,286.0,138,128.0,6.6,1
75.0,24.99,99.99,4.0,285.0,108,32.0,6.5,0
349.0,7.92,379.0,3.8,285.0,38,256.0,6.58,1
120.0,7.69,130.0,3.9,285.0,108,32.0,5.2,0
84.99,15.0,99.99,3.8,284.0,4,0.12,2.8,0
72.0,0.0,72.0,3.9,284.0,157,64.0,6.2,0
129.0,0.0,129.0,4.0,284.0,102,128.0,6.1,0
46.99,6.0,49.99,3.2,283.0,83,16.0,2.5,0
79.98,0.0,79.98,4.2,282.0,113,75.0,2.0,0
49.99,37.5,79.99,3.9,282.0,4,0.12,2.4,0
335.0,0.0,335.0,3.7,277.0,138,256.0,6.7,1
415.72,0.0,415.72,3.9,274.0,138,128.0,6.2,2
928.42,0.0,928.42,4.3,274.0,15,128.0,6.7,2
49.99,0.0,49.99,3.3,273.0,70,2.0,6.6,0
164.0,0.0,164.0,4.0,273.0,108,16.0,5.2,0
159.99,31.92,235.0,3.7,272.0,98,16.0,78.0,0
219.0,0.0,219.0,3.4,271.0,124,32.0,3.3,1
249.97,0.0,249.97,4.3,267.0,15,64.0,4.7,1
245.0,10.91,275.0,4.4,267.0,138,128.0,6.6,1
299.99,0.0,299.99,4.4,266.0,138,32.0,5.5,1
181.0,0.0,181.0,4.3,266.0,15,64.0,6.5,0
423.95,0.0,423.95,4.2,263.0,138,256.0,6.8,2
145.0,0.0,145.0,4.2,263.0,138,128.0,6.5,0
46.59,6.8,49.99,3.8,262.0,168,32.0,6.5,0
120.0,13.67,139.0,4.1,261.0,126,64.0,4.7,0
295.99,0.0,295.99,4.2,260.0,138,128.0,6.9,1
32.95,0.0,32.95,4.0,259.0,169,4.0,1.77,0
294.0,0.0,294.0,4.2,259.0,138,128.0,12.0,1
179.0,0.0,179.0,4.1,257.0,138,16.0,5.5,0
306.0,60.77,779.99,4.1,257.0,138,8.0,6.6,1
49.9,0.0,49.9,3.6,256.0,18,16.0,5.7,0
54.19,0.0,54.19,4.0,256.0,169,32.0,6.5,0
109.89,11.38,124.0,3.2,255.0,108,128.0,8.0,0
59.11,15.35,69.83,3.0,255.0,126,32.0,2.4,0
630.98,5.47,667.49,4.0,254.0,15,256.0,6.7,2
229.99,23.33,299.99,3.4,252.0,138,128.0,6.5,1
72.0,34.55,110.0,3.7,252.0,108,32.0,6.2,0
625.0,0.0,625.0,4.0,250.0,138,256.0,7.6,2
174.0,6.89,186.88,4.1,250.0,138,128.0,6.7,0
98.85,0.0,98.85,4.2,249.0,102,64.0,6.0,0
299.99,0.0,299.99,4.0,249.0,177,256.0,6.81,1
237.95,0.0,237.95,4.4,249.0,138,128.0,6.7,1
38.98,0.0,38.98,4.0,248.0,168,32.0,5.45,0
679.5,0.0,679.5,4.6,247.0,114,512.0,6.7,2
59.99,0.0,59.99,4.0,247.0,138,32.0,6.5,0
179.0,0.0,179.0,3.7,247.0,102,128.0,6.1,0
289.98,0.0,289.98,4.0,247.0,138,64.0,5.8,1
45.95,0.0,45.95,4.2,245.0,151,32.0,6.5,0
599.0,0.0,599.0,4.4,244.0,15,64.0,6.1,2
49.99,0.0,49.99,4.1,243.0,209,32.0,5.5,0
329.99,17.5,399.99,4.3,242.0,138,128.0,6.6,1
199.99,19.35,247.97,4.1,240.0,138,128.0,6.5,0
179.99,0.0,179.99,3.9,239.0,173,256.0,6.7,0
93.99,0.0,93.99,3.9,237.0,138,32.0,6.5,0
374.0,0.0,374.0,4.0,237.0,22,32.0,4.5,1
692.39,0.0,692.39,4.0,236.0,15,512.0,6.7,2
109.63,0.0,109.63,4.1,235.0,188,32.0,6.53,0
219.0,63.5,599.99,4.2,235.0,119,8.0,6.55,1
145.41,7.97,158.0,4.3,231.0,138,128.0,6.5,0
69.5,0.0,69.5,4.1,231.0,108,16.0,5.2,0
179.76,55.06,399.99,3.9,231.0,138,128.0,6.5,0
46.99,0.0,46.99,3.1,230.0,18,16.0,4.0,0
124.44,0.0,124.44,4.1,230.0,157,128.0,6.5,0
137.68,6.88,147.85,4.2,230.0,138,128.0,6.5,0
244.18,0.0,244.18,3.6,227.0,102,32.0,5.3,1
89.0,0.0,89.0,4.0,227.0,108,32.0,5.7,0
89.0,0.0,89.0,3.5,226.0,113,250.0,2.36,0
45.99,0.0,45.99,3.5,224.0,13,16.0,5.0,0
266.0,0.0,266.0,3.9,223.0,138,128.0,6.1,1
234.06,0.0,234.06,4.1,222.0,143,128.0,6.7,1
81.33,0.0,81.33,4.1,222.0,138,32.0,6.4,0
139.99,0.0,139.99,3.4,221.0,173,128.0,6.7,0
649.99,0.0,649.99,4.2,220.0,84,12.0,6.7,2
169.0,0.0,169.0,4.1,220.0,108,64.0,5.5,0
679.94,0.0,679.94,4.1,219.0,138,256.0,6.8,2
92.9,11.52,105.0,3.8,219.0,138,3.0,6.5,0
45.99,42.51,79.99,3.9,219.0,13,4.0,2.8,0
809.5,0.0,809.5,4.4,219.0,138,256.0,6.8,2
319.98,0.0,319.98,4.3,218.0,144,128.0,6.1,1
409.0,0.0,409.0,4.2,217.0,138,128.0,6.1,2
199.99,0.0,199.99,3.8,215.0,138,32.0,5.1,0
335.0,0.0,335.0,4.3,215.0,78,128.0,6.39,1
99.89,23.16,129.99,4.0,214.0,73,1.0,5.9,0
320.19,0.0,320.19,4.3,213.0,84,128.0,5.99,1
78.95,0.0,78.95,4.0,213.0,108,16.0,5.2,0
199.99,0.0,199.99,4.1,212.0,23,64.0,6.5,0
1299.99,23.53,1699.99,4.1,211.0,119,512.0,7.82,2
304.98,0.0,304.98,4.0,211.0,138,32.0,5.1,1
666.95,4.72,699.99,4.0,209.0,138,256.0,6.8,2
179.49,0.0,179.49,3.9,207.0,27,3.0,5.5,0
258.0,0.0,258.0,4.2,205.0,138,64.0,5.8,1
119.99,0.0,119.99,4.1,203.0,111,128.0,6.5,0
592.01,0.0,592.01,4.5,202.0,114,256.0,6.7,2
163.99,0.0,163.99,4.1,202.0,138,128.0,6.5,0
278.0,10.02,308.96,3.8,202.0,138,128.0,6.8,1
263.96,0.0,263.96,4.4,202.0,15,64.0,6.5,1
109.44,52.42,229.99,3.7,201.0,138,64.0,6.5,0
314.1,0.0,314.1,4.2,200.0,138,128.0,6.8,1
89.99,30.77,129.99,3.7,200.0,111,4.0,6.55,0
72.0,0.0,72.0,4.0,200.0,138,32.0,5.0,0
309.99,0.0,309.99,3.5,200.0,179,6.0,4.2,1
199.99,0.0,199.99,4.5,199.0,23,256.0,6.9,0
174.0,0.0,174.0,4.1,199.0,102,128.0,6.8,0
99.99,4.76,104.99,4.0,199.0,177,128.0,6.52,0
25.0,0.0,25.0,3.1,199.0,126,16.0,2.4,0
69.0,0.0,69.0,4.1,199.0,113,16.0,2.36,0
82.1,0.0,82.1,4.0,198.0,138,32.0,5.5,0
119.99,13.05,138.0,4.0,198.0,126,64.0,4.7,0
129.99,0.0,129.99,3.6,196.0,77,64.0,5.5,0
369.5,0.0,369.5,4.4,196.0,138,256.0,6.4,1
104.0,12.44,118.77,4.2,196.0,102,64.0,6.4,0
269.98,0.0,269.98,4.1,194.0,138,128.0,5.8,1
90.89,0.0,90.89,2.6,194.0,89,64.0,6.1,0
92.0,0.0,92.0,4.0,194.0,108,64.0,6.7,0
144.99,0.0,144.99,4.4,193.0,188,128.0,6.71,0
149.99,0.0,149.99,4.1,192.0,60,64.0,5.45,0
159.98,0.0,159.98,4.2,192.0,188,6.0,6.43,0
267.5,0.0,267.5,4.4,192.0,135,256.0,6.67,1
124.44,21.23,157.97,3.9,191.0,138,128.0,6.5,0
269.0,0.0,269.0,3.8,191.0,138,64.0,5.8,1
161.18,19.41,199.99,4.2,188.0,138,128.0,6.5,0
214.99,0.0,214.99,4.6,188.0,188,128.0,6.43,1
103.48,30.78,149.5,3.9,187.0,138,64.0,6.6,0
209.97,58.0,499.97,4.1,187.0,138,128.0,6.2,1
299.98,0.0,299.98,4.2,187.0,138,64.0,6.2,1
59.9,14.42,69.99,3.4,186.0,18,16.0,6.2,0
229.72,0.0,229.72,3.4,186.0,138,128.0,6.7,1
89.99,0.0,89.99,3.7,184.0,32,16.0,2.8,0
104.0,0.0,104.0,4.0,184.0,108,4.0,6.5,0
124.44,0.0,124.44,3.9,184.0,157,128.0,6.5,0
99.99,0.0,99.99,3.5,184.0,192,64.0,2.8,0
508.95,0.0,508.95,4.2,183.0,138,256.0,6.6,2
245.0,0.0,245.0,4.7,179.0,188,8.0,6.67,1
100.3,14.88,117.83,3.6,179.0,126,32.0,6.0,0
54.99,0.0,54.99,3.9,178.0,13,16.0,5.0,0
239.99,11.11,269.98,4.2,177.0,144,128.0,5.8,1
153.8,0.0,153.8,4.2,177.0,138,128.0,6.1,0
727.97,0.0,727.97,4.1,177.0,15,256.0,6.7,2
179.99,0.0,179.99,3.6,177.0,173,128.0,6.53,0
69.49,0.0,69.49,3.5,177.0,169,32.0,5.45,0
699.0,0.0,699.0,3.3,176.0,15,64.0,6.1,2
329.99,0.0,329.99,3.4,176.0,73,128.0,6.0,1
149.5,0.0,149.5,4.2,176.0,138,128.0,6.5,0
189.97,0.0,189.97,3.7,175.0,138,128.0,6.5,0
299.0,0.0,299.0,3.5,175.0,131,16.0,2.0,1
110.22,0.0,110.22,4.4,174.0,138,32.0,6.4,0
68.34,10.33,76.21,3.9,174.0,138,32.0,6.5,0
169.99,0.0,169.99,4.2,173.0,177,64.0,6.52,0
79.99,0.0,79.99,3.5,173.0,173,32.0,6.52,0
219.5,0.0,219.5,3.5,173.0,98,16.0,2.4,1
747.54,0.0,747.54,3.6,172.0,144,512.0,6.4,2
114.99,7.27,124.0,4.0,172.0,119,128.0,6.49,0
319.99,0.0,319.99,4.3,172.0,118,256.0,6.6,1
249.0,0.0,249.0,4.0,171.0,138,256.0,6.2,1
732.36,0.0,732.36,4.2,171.0,15,256.0,6.7,2
236.0,0.0,236.0,4.1,171.0,138,128.0,6.7,1
99.99,32.89,149.0,3.9,171.0,138,32.0,6.5,0
168.0,0.0,168.0,4.3,169.0,119,128.0,6.55,0
369.32,0.0,369.32,3.9,169.0,138,256.0,6.7,1
99.99,0.0,99.99,3.3,168.0,113,128.0,6.52,0
259.0,0.0,259.0,4.0,168.0,138,128.0,5.8,1
326.0,0.0,326.0,4.1,168.0,138,256.0,6.6,1
98.0,45.25,179.0,4.0,168.0,138,64.0,6.5,0
102.64,11.12,115.48,4.0,167.0,138,64.0,6.4,0
692.39,0.0,692.39,4.1,166.0,15,512.0,6.7,2
79.99,0.0,79.99,3.7,165.0,173,32.0,6.53,0
70.83,0.0,70.83,4.1,164.0,108,32.0,5.7,0
482.95,6.22,514.99,3.9,164.0,138,12.0,6.8,2
426.0,0.0,426.0,3.6,164.0,138,8.0,6.8,2
169.99,0.0,169.99,4.2,163.0,111,128.0,6.7,0
169.99,0.0,169.99,4.4,162.0,206,128.0,6.74,0
99.99,33.34,149.99,3.9,162.0,18,128.0,6.82677534,0
129.99,0.0,129.99,3.9,161.0,177,256.0,6.52,0
82.85,15.45,97.99,4.3,161.0,108,128.0,6.7,0
149.99,34.78,229.99,3.4,161.0,108,8.0,6.8,0
74.0,0.0,74.0,3.7,160.0,13,64.0,6.52,0
59.99,4.76,62.99,3.8,160.0,13,16.0,5.34,0
370.0,0.0,370.0,4.3,159.0,138,64.0,5.8,1
248.0,32.05,364.99,3.5,159.0,73,128.0,6.1,1
179.99,0.0,179.99,4.6,159.0,23,128.0,6.75,0
109.0,0.0,109.0,3.8,158.0,102,64.0,6.0,0
49.99,0.0,49.99,3.6,158.0,171,8.0,2.5,0
24.99,0.0,24.99,4.3,158.0,169,32.0,6.5,0
514.0,0.0,514.0,4.2,157.0,138,8.0,6.4,2
404.97,0.0,404.97,4.0,156.0,138,12.0,6.8,2
299.99,0.0,299.99,4.0,156.0,31,256.0,6.58,1
279.99,0.0,279.99,4.1,156.0,138,128.0,6.1,1
69.99,0.0,69.99,4.1,155.0,168,64.0,6.5,0
429.5,0.0,429.5,4.4,155.0,108,256.0,6.7,2
569.99,0.0,569.99,4.1,155.0,118,512.0,6.78,2
199.99,0.0,199.99,4.5,155.0,108,4.0,6.4,0
123.5,0.0,123.5,3.9,155.0,98,8.0,2.6,0
32.99,5.72,34.99,3.5,154.0,105,32.0,4.6,0
59.99,0.0,59.99,3.2,153.0,13,16.0,5.0,0
247.5,8.16,269.5,4.3,153.0,108,12.0,6.5,1
65.99,0.0,65.99,2.9,153.0,130,128.0,6.3,0
199.99,0.0,199.99,4.5,152.0,188,128.0,6.67,0
159.99,0.0,159.99,3.8,151.0,138,32.0,6.5,0
159.0,0.0,159.0,4.0,151.0,108,128.0,6.7,0
79.47,0.0,79.47,2.4,151.0,6,4.0,5.4,0
346.0,0.0,346.0,4.1,151.0,138,128.0,6.9,1
31.0,26.19,42.0,3.8,151.0,158,32.0,2.8,0
43.99,0.0,43.99,3.6,150.0,138,16.0,5.0,0
239.99,0.0,239.99,4.3,150.0,138,64.0,6.2,1
264.99,0.0,264.99,4.2,150.0,138,128.0,5.8,1
549.99,6.78,589.99,4.1,150.0,138,8.0,6.1,2
114.0,0.0,114.0,4.2,149.0,108,128.0,6.6,0
96.99,0.0,96.99,3.9,148.0,102,16.0,5.3,0
326.12,10.41,364.0,3.8,148.0,138,256.0,6.8,1
229.99,0.0,229.99,3.9,148.0,138,512.0,7.3,1
199.95,0.0,199.95,4.0,148.0,73,4.0,6.0,0
299.99,0.0,299.99,4.4,147.0,38,512.0,6.58,1
199.95,0.0,199.95,3.8,146.0,138,32.0,6.4,0
209.99,0.0,209.99,3.5,146.0,173,256.0,2.6771668,1
355.76,55.47,798.98,4.1,146.0,138,128.0,6.9,1
179.0,0.0,179.0,4.3,145.0,73,64.0,6.0,0
135.99,0.0,135.99,4.0,145.0,108,16.0,5.7,0
171.0,55.93,387.99,3.6,145.0,98,4.0,5.4,0
196.23,0.0,196.23,4.1,144.0,138,128.0,6.7,0
259.0,0.0,259.0,4.2,144.0,119,256.0,6.67,1
840.13,0.0,840.13,4.0,144.0,15,128.0,6.1,2
114.0,65.45,329.99,3.7,143.0,108,128.0,6.8,0
125.45,0.0,125.45,4.0,143.0,119,128.0,6.5,0
494.97,0.0,494.97,4.3,143.0,138,128.0,6.4,2
161.98,4.71,169.99,4.4,142.0,188,256.0,6.67,0
270.0,0.0,270.0,4.5,141.0,138,256.0,6.8,1
235.0,0.0,235.0,4.0,141.0,119,256.0,6.55,1
151.0,0.0,151.0,4.2,141.0,138,128.0,6.5,0
200.0,0.0,200.0,4.1,140.0,138,4.0,6.6,0
389.97,0.0,389.97,4.3,140.0,138,128.0,6.4,1
174.0,21.62,222.0,3.9,139.0,108,256.0,6.7,0
139.99,0.0,139.99,3.9,139.0,173,128.0,6.6,0
708.64,0.0,708.64,3.9,138.0,15,1000.0,6.7,2
268.85,0.0,268.85,4.2,138.0,188,256.0,6.67,1
180.0,0.0,180.0,3.7,138.0,15,256.0,5.8,0
187.49,5.78,199.0,4.2,137.0,138,256.0,6.5,0
79.99,0.0,79.99,3.8,136.0,102,32.0,5.7,0
369.99,0.0,369.99,4.1,136.0,177,256.0,6.78,1
998.0,28.71,1399.99,3.9,135.0,153,256.0,6.5,2
64.98,7.17,70.0,4.3,135.0,108,64.0,6.5,0
349.0,8.16,379.99,4.1,135.0,138,256.0,6.3,1
219.0,0.0,219.0,3.5,134.0,124,32.0,3.3,1
487.12,0.0,487.12,4.2,134.0,138,8.0,6.4,2
632.91,0.0,632.91,4.0,134.0,138,1000.0,6.6,2
274.0,44.42,492.97,4.0,134.0,138,128.0,6.4,1
159.99,0.0,159.99,4.1,134.0,138,64.0,6.5,0
78.99,20.2,98.99,3.3,133.0,50,16.0,2.4,0
220.0,0.0,220.0,4.5,133.0,188,512.0,6.67,1
349.97,0.0,349.97,3.8,133.0,138,64.0,6.2,1
139.97,0.0,139.97,3.6,133.0,138,8.0,5.0,0
142.99,0.0,142.99,3.4,131.0,152,64.0,5.0,0
279.0,22.5,359.99,4.2,130.0,138,128.0,6.9,1
112.89,0.0,112.89,4.2,130.0,102,32.0,6.2,0
115.7,0.0,115.7,4.3,129.0,188,4.0,6.74,0
329.99,0.0,329.99,4.4,129.0,188,128.0,40.551203,1
99.99,0.0,99.99,3.7,128.0,173,128.0,6.7,0
149.99,16.67,179.99,4.1,128.0,18,128.0,6.8,0
669.0,0.0,669.0,4.2,128.0,15,256.0,6.7,2
169.99,9.57,187.98,4.0,128.0,138,128.0,6.4,0
1099.0,0.0,1099.0,3.6,127.0,15,64.0,6.5,2
116.99,0.0,116.99,4.0,127.0,118,256.0,6.56,0
363.51,0.0,363.51,4.1,126.0,138,128.0,6.9,1
489.98,47.31,929.97,3.8,126.0,138,512.0,6.8,2
249.99,0.0,249.99,4.1,125.0,177,256.0,6.78,1
48.93,21.64,62.44,3.7,125.0,32,16.0,2.8,0
179.49,0.0,179.49,3.5,124.0,178,4.0,5.7,0
89.99,0.0,89.99,4.2,124.0,108,128.0,6.7,0
59.99,0.0,59.99,3.8,124.0,18,2.0,6.4,0
208.75,0.0,208.75,4.1,124.0,138,128.0,6.2,1
129.0,0.0,129.0,3.8,123.0,138,16.0,5.0,0
218.89,60.56,554.98,4.3,123.0,138,6.0,6.4,1
640.44,0.0,640.44,4.0,123.0,15,64.0,6.1,2
594.99,0.0,594.99,4.2,123.0,188,512.0,6.67,2
774.98,0.0,774.98,4.2,123.0,138,256.0,6.8,2
59.99,0.0,59.99,3.4,122.0,83,16.0,3.0,0
119.99,25.0,159.99,4.2,122.0,38,64.0,5.5,0
79.99,0.0,79.99,3.8,122.0,173,4.0,6.7,0
398.94,0.0,398.94,3.7,121.0,108,256.0,6.2,1
269.98,0.0,269.98,4.1,121.0,138,128.0,5.8,1
199.99,0.0,199.99,3.6,120.0,102,128.0,6.1,0
229.5,0.0,229.5,4.4,120.0,108,12.0,6.5,1
68.98,0.0,68.98,3.8,120.0,178,16.0,2.8,0
164.95,0.0,164.95,4.1,120.0,108,128.0,6.8,0
99.99,0.0,99.99,4.1,119.0,166,64.0,6.1,0
230.0,61.6,599.0,4.0,119.0,15,64.0,6.1,1
139.99,12.5,159.99,3.3,118.0,173,128.0,6.3,0
269.99,10.0,299.99,4.4,118.0,38,256.0,6.58,1
129.99,0.0,129.99,4.1,118.0,169,16.0,5.0,0
41.7,0.0,41.7,4.0,118.0,108,32.0,5.7,0
149.0,0.0,149.0,4.1,118.0,119,128.0,6.55,0
129.67,0.0,129.67,3.7,118.0,113,64.0,6.58,0
162.0,0.0,162.0,4.0,117.0,119,8.0,6.55,0
99.99,0.0,99.99,3.3,117.0,172,64.0,3.0,0
379.5,8.49,414.72,4.3,117.0,188,256.0,6.67,1
294.9,0.0,294.9,3.9,116.0,138,128.0,6.7,1
543.0,0.0,543.0,3.8,116.0,138,256.0,6.7,2
269.97,0.0,269.97,4.0,116.0,138,64.0,5.8,1
79.99,0.0,79.99,3.5,116.0,138,32.0,6.4,0
99.0,0.0,99.0,3.7,116.0,102,16.0,6.2,0
159.99,0.0,159.99,3.8,115.0,173,128.0,6.7,0
274.99,0.0,274.99,4.4,115.0,138,128.0,6.4,1
62.99,0.0,62.99,3.8,114.0,28,16.0,2.8,0
142.9,52.37,299.99,3.5,114.0,102,128.0,6.4,0
99.99,0.0,99.99,3.8,114.0,98,16.0,2.6,0
289.99,0.0,289.99,3.6,113.0,118,256.0,6.78,1
158.7,18.61,194.99,4.3,113.0,108,256.0,6.5,0
99.99,0.0,99.99,3.4,113.0,173,128.0,6.53,0
229.5,0.0,229.5,4.0,113.0,188,128.0,6.5,1
275.77,0.0,275.77,3.9,113.0,102,128.0,6.4,1
389.99,35.0,599.99,3.9,112.0,108,256.0,6.9,1
67.9,0.0,67.9,4.0,112.0,108,32.0,6.5,0
89.99,0.0,89.99,4.0,112.0,108,64.0,5.5,0
99.98,38.2,161.79,3.9,111.0,73,128.0,6.3,0
99.99,0.0,99.99,3.9,111.0,173,128.0,6.52,0
390.0,0.0,390.0,4.2,111.0,188,128.0,6.73,1
121.61,16.13,144.99,4.3,111.0,138,128.0,5.8,0
267.5,0.0,267.5,4.3,111.0,188,512.0,6.67,1
78.96,11.28,89.0,3.8,110.0,138,32.0,6.5,0
87.99,0.0,87.99,3.8,109.0,13,4.0,2.8,0
520.0,0.0,520.0,3.8,109.0,138,128.0,6.4,2
69.99,0.0,69.99,4.0,109.0,83,32.0,3.0,0
139.99,0.0,139.99,3.6,109.0,90,8.0,2.8,0
104.99,4.55,109.99,4.0,108.0,177,128.0,6.52,0
509.99,0.0,509.99,4.3,108.0,138,512.0,6.8,2
299.99,0.0,299.99,4.0,107.0,177,256.0,6.58,1
129.99,30.85,187.99,3.5,107.0,173,128.0,6.6,0
347.25,0.0,347.25,4.2,107.0,138,128.0,6.9,1
242.84,0.0,242.84,4.0,107.0,169,128.0,6.6,1
189.0,0.0,189.0,4.0,107.0,73,4.0,5.5,0
299.99,0.0,299.99,4.2,107.0,138,128.0,6.6,1
113.44,40.29,190.0,4.0,107.0,138,64.0,6.5,0
134.0,0.0,134.0,3.8,107.0,102,32.0,5.7,0
289.0,0.0,289.0,4.7,107.0,188,12.0,6.67,1
339.0,0.0,339.0,4.3,106.0,188,128.0,6.67,1
169.79,0.0,169.79,4.4,106.0,188,128.0,6.79,0
329.97,0.0,329.97,4.2,106.0,15,256.0,6.5,1
138.44,0.0,138.44,4.1,105.0,138,128.0,6.5,0
89.98,7.24,97.0,4.3,105.0,138,32.0,6.5,0
99.9,16.03,118.97,4.1,105.0,138,64.0,6.7,0
338.0,0.0,338.0,4.4,104.0,138,256.0,6.6,1
379.5,0.0,379.5,4.0,104.0,138,256.0,6.4,1
118.0,0.0,118.0,4.1,104.0,138,64.0,6.5,0
135.99,0.0,135.99,3.6,103.0,173,128.0,6.7,0
144.0,0.0,144.0,4.1,103.0,138,128.0,6.5,0
85.39,5.0,89.88,3.7,103.0,157,64.0,6.5,0
239.0,0.0,239.0,4.0,103.0,138,128.0,6.7,1
463.94,4.93,488.0,3.9,103.0,138,12.0,6.8,2
149.99,0.0,149.99,3.9,102.0,138,16.0,5.0,0
174.99,0.0,174.99,4.1,102.0,206,128.0,1.7,0
89.0,16.24,106.26,3.2,102.0,108,128.0,7.0,0
42.0,4.52,43.99,3.0,102.0,158,4.0,2.8,0
209.99,0.0,209.99,4.1,102.0,177,128.0,6.52,1
429.99,0.0,429.99,4.2,100.0,138,128.0,6.1,2
99.95,0.0,99.95,4.4,99.0,192,1000.0,6.75,0
69.68,0.0,69.68,3.5,99.0,98,16.0,5.7,0
93.55,81.29,499.99,3.3,98.0,138,512.0,6.3,0
